PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=63 time=226 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=157 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=155 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=158 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=162 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=63 time=164 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=63 time=169 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=63 time=166 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=63 time=168 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=63 time=163 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=63 time=175 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=63 time=173 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=63 time=176 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=63 time=173 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=177 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=174 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=171 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=175 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=175 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=63 time=172 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=181 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=179 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=180 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=63 time=605 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=603 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=179 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=183 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=63 time=184 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=63 time=182 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=63 time=179 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=63 time=182 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=186 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=133 ttl=63 time=184 ms
64 bytes from 10.0.2.22: icmp_seq=134 ttl=63 time=185 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=63 time=179 ms
64 bytes from 10.0.2.22: icmp_seq=136 ttl=63 time=181 ms
64 bytes from 10.0.2.22: icmp_seq=137 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=138 ttl=63 time=194 ms
64 bytes from 10.0.2.22: icmp_seq=139 ttl=63 time=197 ms
64 bytes from 10.0.2.22: icmp_seq=140 ttl=63 time=193 ms
64 bytes from 10.0.2.22: icmp_seq=141 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=142 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=143 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=144 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=63 time=188 ms
64 bytes from 10.0.2.22: icmp_seq=147 ttl=63 time=189 ms
64 bytes from 10.0.2.22: icmp_seq=148 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=149 ttl=63 time=191 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=151 ttl=63 time=199 ms
64 bytes from 10.0.2.22: icmp_seq=152 ttl=63 time=202 ms
64 bytes from 10.0.2.22: icmp_seq=153 ttl=63 time=203 ms
64 bytes from 10.0.2.22: icmp_seq=154 ttl=63 time=198 ms
64 bytes from 10.0.2.22: icmp_seq=155 ttl=63 time=192 ms
64 bytes from 10.0.2.22: icmp_seq=156 ttl=63 time=196 ms
64 bytes from 10.0.2.22: icmp_seq=157 ttl=63 time=199 ms
64 bytes from 10.0.2.22: icmp_seq=158 ttl=63 time=204 ms
64 bytes from 10.0.2.22: icmp_seq=159 ttl=63 time=195 ms
64 bytes from 10.0.2.22: icmp_seq=160 ttl=63 time=202 ms
64 bytes from 10.0.2.22: icmp_seq=161 ttl=63 time=200 ms
64 bytes from 10.0.2.22: icmp_seq=162 ttl=63 time=199 ms
64 bytes from 10.0.2.22: icmp_seq=163 ttl=63 time=203 ms
64 bytes from 10.0.2.22: icmp_seq=164 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=165 ttl=63 time=201 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=63 time=200 ms
64 bytes from 10.0.2.22: icmp_seq=167 ttl=63 time=202 ms
64 bytes from 10.0.2.22: icmp_seq=168 ttl=63 time=203 ms
64 bytes from 10.0.2.22: icmp_seq=169 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=170 ttl=63 time=207 ms
64 bytes from 10.0.2.22: icmp_seq=171 ttl=63 time=205 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=173 ttl=63 time=203 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=63 time=204 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=63 time=208 ms
64 bytes from 10.0.2.22: icmp_seq=176 ttl=63 time=206 ms
64 bytes from 10.0.2.22: icmp_seq=177 ttl=63 time=210 ms
64 bytes from 10.0.2.22: icmp_seq=178 ttl=63 time=218 ms
64 bytes from 10.0.2.22: icmp_seq=179 ttl=63 time=231 ms
64 bytes from 10.0.2.22: icmp_seq=180 ttl=63 time=224 ms
64 bytes from 10.0.2.22: icmp_seq=181 ttl=63 time=216 ms
64 bytes from 10.0.2.22: icmp_seq=182 ttl=63 time=217 ms
64 bytes from 10.0.2.22: icmp_seq=183 ttl=63 time=335 ms
64 bytes from 10.0.2.22: icmp_seq=184 ttl=63 time=358 ms
64 bytes from 10.0.2.22: icmp_seq=185 ttl=63 time=309 ms
64 bytes from 10.0.2.22: icmp_seq=186 ttl=63 time=236 ms
64 bytes from 10.0.2.22: icmp_seq=187 ttl=63 time=212 ms
64 bytes from 10.0.2.22: icmp_seq=188 ttl=63 time=220 ms
64 bytes from 10.0.2.22: icmp_seq=189 ttl=63 time=244 ms
64 bytes from 10.0.2.22: icmp_seq=190 ttl=63 time=246 ms
64 bytes from 10.0.2.22: icmp_seq=191 ttl=63 time=224 ms
64 bytes from 10.0.2.22: icmp_seq=192 ttl=63 time=219 ms
64 bytes from 10.0.2.22: icmp_seq=193 ttl=63 time=216 ms
64 bytes from 10.0.2.22: icmp_seq=194 ttl=63 time=219 ms
64 bytes from 10.0.2.22: icmp_seq=195 ttl=63 time=223 ms
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=227 ms
64 bytes from 10.0.2.22: icmp_seq=197 ttl=63 time=232 ms
64 bytes from 10.0.2.22: icmp_seq=198 ttl=63 time=230 ms
64 bytes from 10.0.2.22: icmp_seq=199 ttl=63 time=237 ms
64 bytes from 10.0.2.22: icmp_seq=200 ttl=63 time=234 ms
64 bytes from 10.0.2.22: icmp_seq=201 ttl=63 time=227 ms
64 bytes from 10.0.2.22: icmp_seq=202 ttl=63 time=220 ms
64 bytes from 10.0.2.22: icmp_seq=203 ttl=63 time=223 ms
64 bytes from 10.0.2.22: icmp_seq=204 ttl=63 time=223 ms
64 bytes from 10.0.2.22: icmp_seq=205 ttl=63 time=232 ms
64 bytes from 10.0.2.22: icmp_seq=206 ttl=63 time=235 ms
64 bytes from 10.0.2.22: icmp_seq=207 ttl=63 time=232 ms
64 bytes from 10.0.2.22: icmp_seq=208 ttl=63 time=225 ms
64 bytes from 10.0.2.22: icmp_seq=209 ttl=63 time=229 ms
64 bytes from 10.0.2.22: icmp_seq=210 ttl=63 time=233 ms
64 bytes from 10.0.2.22: icmp_seq=211 ttl=63 time=233 ms
64 bytes from 10.0.2.22: icmp_seq=212 ttl=63 time=238 ms
64 bytes from 10.0.2.22: icmp_seq=213 ttl=63 time=232 ms
64 bytes from 10.0.2.22: icmp_seq=214 ttl=63 time=226 ms
64 bytes from 10.0.2.22: icmp_seq=215 ttl=63 time=230 ms
64 bytes from 10.0.2.22: icmp_seq=216 ttl=63 time=228 ms
64 bytes from 10.0.2.22: icmp_seq=217 ttl=63 time=228 ms
64 bytes from 10.0.2.22: icmp_seq=218 ttl=63 time=227 ms
64 bytes from 10.0.2.22: icmp_seq=219 ttl=63 time=379 ms
64 bytes from 10.0.2.22: icmp_seq=220 ttl=63 time=384 ms
64 bytes from 10.0.2.22: icmp_seq=221 ttl=63 time=235 ms
64 bytes from 10.0.2.22: icmp_seq=222 ttl=63 time=236 ms
