PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=1 ttl=63 time=44.2 ms
64 bytes from 10.0.2.22: icmp_seq=4 ttl=63 time=23.8 ms
64 bytes from 10.0.2.22: icmp_seq=5 ttl=63 time=23.1 ms
64 bytes from 10.0.2.22: icmp_seq=6 ttl=63 time=24.7 ms
64 bytes from 10.0.2.22: icmp_seq=7 ttl=63 time=31.5 ms
64 bytes from 10.0.2.22: icmp_seq=8 ttl=63 time=31.1 ms
64 bytes from 10.0.2.22: icmp_seq=9 ttl=63 time=40.6 ms
64 bytes from 10.0.2.22: icmp_seq=10 ttl=63 time=35.6 ms
64 bytes from 10.0.2.22: icmp_seq=11 ttl=63 time=26.2 ms
64 bytes from 10.0.2.22: icmp_seq=12 ttl=63 time=35.9 ms
64 bytes from 10.0.2.22: icmp_seq=13 ttl=63 time=32.1 ms
64 bytes from 10.0.2.22: icmp_seq=14 ttl=63 time=33.6 ms
64 bytes from 10.0.2.22: icmp_seq=15 ttl=63 time=25.0 ms
64 bytes from 10.0.2.22: icmp_seq=16 ttl=63 time=29.6 ms
64 bytes from 10.0.2.22: icmp_seq=17 ttl=63 time=27.4 ms
64 bytes from 10.0.2.22: icmp_seq=18 ttl=63 time=35.2 ms
64 bytes from 10.0.2.22: icmp_seq=19 ttl=63 time=37.7 ms
64 bytes from 10.0.2.22: icmp_seq=20 ttl=63 time=39.6 ms
64 bytes from 10.0.2.22: icmp_seq=21 ttl=63 time=29.3 ms
64 bytes from 10.0.2.22: icmp_seq=22 ttl=63 time=25.5 ms
64 bytes from 10.0.2.22: icmp_seq=23 ttl=63 time=28.4 ms
64 bytes from 10.0.2.22: icmp_seq=24 ttl=63 time=34.8 ms
64 bytes from 10.0.2.22: icmp_seq=25 ttl=63 time=37.8 ms
64 bytes from 10.0.2.22: icmp_seq=26 ttl=63 time=21.3 ms
64 bytes from 10.0.2.22: icmp_seq=27 ttl=63 time=29.9 ms
64 bytes from 10.0.2.22: icmp_seq=28 ttl=63 time=31.9 ms
64 bytes from 10.0.2.22: icmp_seq=29 ttl=63 time=32.6 ms
64 bytes from 10.0.2.22: icmp_seq=30 ttl=63 time=37.2 ms
64 bytes from 10.0.2.22: icmp_seq=31 ttl=63 time=23.4 ms
64 bytes from 10.0.2.22: icmp_seq=32 ttl=63 time=20.9 ms
64 bytes from 10.0.2.22: icmp_seq=33 ttl=63 time=29.0 ms
64 bytes from 10.0.2.22: icmp_seq=34 ttl=63 time=34.8 ms
64 bytes from 10.0.2.22: icmp_seq=35 ttl=63 time=35.7 ms
64 bytes from 10.0.2.22: icmp_seq=36 ttl=63 time=21.5 ms
64 bytes from 10.0.2.22: icmp_seq=37 ttl=63 time=22.8 ms
64 bytes from 10.0.2.22: icmp_seq=38 ttl=63 time=28.0 ms
64 bytes from 10.0.2.22: icmp_seq=39 ttl=63 time=33.9 ms
64 bytes from 10.0.2.22: icmp_seq=40 ttl=63 time=80.2 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=63 time=29.9 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=63 time=26.1 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=63 time=26.4 ms
64 bytes from 10.0.2.22: icmp_seq=44 ttl=63 time=35.6 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=63 time=31.7 ms
64 bytes from 10.0.2.22: icmp_seq=46 ttl=63 time=38.1 ms
64 bytes from 10.0.2.22: icmp_seq=47 ttl=63 time=24.7 ms
64 bytes from 10.0.2.22: icmp_seq=48 ttl=63 time=24.7 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=63 time=29.1 ms
64 bytes from 10.0.2.22: icmp_seq=50 ttl=63 time=32.8 ms
64 bytes from 10.0.2.22: icmp_seq=51 ttl=63 time=36.3 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=63 time=37.9 ms
64 bytes from 10.0.2.22: icmp_seq=53 ttl=63 time=25.4 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=63 time=30.4 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=63 time=31.9 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=63 time=37.0 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=63 time=37.2 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=63 time=40.4 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=63 time=23.6 ms
64 bytes from 10.0.2.22: icmp_seq=60 ttl=63 time=29.3 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=63 time=36.2 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=63 time=36.1 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=63 time=44.1 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=63 time=37.2 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=63 time=22.9 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=63 time=22.0 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=63 time=30.5 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=63 time=32.7 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=63 time=40.7 ms
