PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=82 ttl=63 time=15.6 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=63 time=13.0 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=63 time=11.1 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=63 time=14.7 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=63 time=13.3 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=63 time=15.8 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=63 time=14.8 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=14.9 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=63 time=11.6 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=19.9 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=14.3 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=11.8 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=18.1 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=63 time=16.2 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=13.5 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=11.7 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=15.8 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=63 time=14.8 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=11.5 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=407 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=63 time=522 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=63 time=653 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=63 time=748 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=63 time=831 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=63 time=930 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=63 time=1002 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=63 time=1120 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=63 time=1229 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=63 time=1312 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=63 time=1424 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=63 time=1526 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=1625 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=1732 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=1824 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=1937 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=2032 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=63 time=2133 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=2241 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=2344 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=2451 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=63 time=2554 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=2658 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=2757 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=2863 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=2966 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=63 time=3059 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=63 time=3163 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=63 time=3576 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=63 time=3791 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=3892 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=3997 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=63 time=4030 ms
64 bytes from 10.0.2.22: icmp_seq=140 ttl=63 time=4039 ms
64 bytes from 10.0.2.22: icmp_seq=141 ttl=63 time=4037 ms
64 bytes from 10.0.2.22: icmp_seq=143 ttl=63 time=4038 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=63 time=4042 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=63 time=4044 ms
64 bytes from 10.0.2.22: icmp_seq=147 ttl=63 time=4043 ms
64 bytes from 10.0.2.22: icmp_seq=149 ttl=63 time=4052 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=63 time=4051 ms
64 bytes from 10.0.2.22: icmp_seq=153 ttl=63 time=4050 ms
64 bytes from 10.0.2.22: icmp_seq=155 ttl=63 time=4049 ms
64 bytes from 10.0.2.22: icmp_seq=157 ttl=63 time=4054 ms
64 bytes from 10.0.2.22: icmp_seq=159 ttl=63 time=4871 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=63 time=10106 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=63 time=10938 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=63 time=11321 ms
64 bytes from 10.0.2.22: icmp_seq=177 ttl=63 time=12095 ms
64 bytes from 10.0.2.22: icmp_seq=179 ttl=63 time=11910 ms
64 bytes from 10.0.2.22: icmp_seq=180 ttl=63 time=11821 ms
64 bytes from 10.0.2.22: icmp_seq=182 ttl=63 time=11685 ms
64 bytes from 10.0.2.22: icmp_seq=184 ttl=63 time=11529 ms
64 bytes from 10.0.2.22: icmp_seq=185 ttl=63 time=11445 ms
64 bytes from 10.0.2.22: icmp_seq=186 ttl=63 time=11375 ms
64 bytes from 10.0.2.22: icmp_seq=187 ttl=63 time=11291 ms
64 bytes from 10.0.2.22: icmp_seq=189 ttl=63 time=11109 ms
64 bytes from 10.0.2.22: icmp_seq=190 ttl=63 time=11021 ms
64 bytes from 10.0.2.22: icmp_seq=193 ttl=63 time=10839 ms
64 bytes from 10.0.2.22: icmp_seq=195 ttl=63 time=10775 ms
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=10772 ms
64 bytes from 10.0.2.22: icmp_seq=199 ttl=63 time=10527 ms
64 bytes from 10.0.2.22: icmp_seq=214 ttl=63 time=9009 ms
64 bytes from 10.0.2.22: icmp_seq=233 ttl=63 time=7106 ms
64 bytes from 10.0.2.22: icmp_seq=234 ttl=63 time=7005 ms
64 bytes from 10.0.2.22: icmp_seq=251 ttl=63 time=5273 ms
64 bytes from 10.0.2.22: icmp_seq=254 ttl=63 time=4969 ms
64 bytes from 10.0.2.22: icmp_seq=257 ttl=63 time=4661 ms
64 bytes from 10.0.2.22: icmp_seq=270 ttl=63 time=3416 ms
64 bytes from 10.0.2.22: icmp_seq=271 ttl=63 time=3309 ms
64 bytes from 10.0.2.22: icmp_seq=279 ttl=63 time=2488 ms
64 bytes from 10.0.2.22: icmp_seq=284 ttl=63 time=1978 ms
64 bytes from 10.0.2.22: icmp_seq=289 ttl=63 time=1487 ms
64 bytes from 10.0.2.22: icmp_seq=294 ttl=63 time=1112 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=1143 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=1228 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=1181 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=1134 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=969 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=926 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=963 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=916 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=937 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=905 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=869 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=820 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=780 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=723 ms
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=799 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=900 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=835 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=992 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=1319 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=1468 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=2009 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=2117 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=2342 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=2596 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=2521 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=2449 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=2360 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=2273 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=2158 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=2072 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=1987 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=1909 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=1823 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=1728 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=1603 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=1457 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=1367 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=1228 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=1219 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=1240 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=1232 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=1241 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=1177 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=1124 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=1001 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=912 ms
64 bytes from 10.0.2.22: icmp_seq=343 ttl=63 time=1158 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=1673 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=2158 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=2133 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=2109 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=2087 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=2085 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=2072 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=2109 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=2054 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=1964 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=1872 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=1796 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=1772 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=1787 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=1764 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=1781 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=1785 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=1708 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=1624 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=1534 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=1447 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=1353 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=1275 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=1188 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=1101 ms
64 bytes from 10.0.2.22: icmp_seq=370 ttl=63 time=1018 ms
64 bytes from 10.0.2.22: icmp_seq=371 ttl=63 time=961 ms
64 bytes from 10.0.2.22: icmp_seq=372 ttl=63 time=941 ms
64 bytes from 10.0.2.22: icmp_seq=373 ttl=63 time=856 ms
64 bytes from 10.0.2.22: icmp_seq=374 ttl=63 time=762 ms
64 bytes from 10.0.2.22: icmp_seq=375 ttl=63 time=661 ms
64 bytes from 10.0.2.22: icmp_seq=376 ttl=63 time=567 ms
64 bytes from 10.0.2.22: icmp_seq=377 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=378 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=379 ttl=63 time=332 ms
64 bytes from 10.0.2.22: icmp_seq=380 ttl=63 time=291 ms
64 bytes from 10.0.2.22: icmp_seq=381 ttl=63 time=256 ms
64 bytes from 10.0.2.22: icmp_seq=382 ttl=63 time=255 ms
